"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Cell shape"
1093,RO-H-1,"DSM 9205, ATCC 51516, NRRL B-14698, JCM 12230, BCRC 17124, CIP 104095, IFO 15718, KCTC 3706, LMG 17797, NBRC 15718, NCIMB 13391, VTT E-011771",1,"Bacillus mojavensis",rod-shaped
1095,"Béjar CR-119, CR-119","DSM 18911, BCRC 17501, BCRC 17653, CCRC 17501, CCRC 17653, CECT 5688, CIP 108772, LMG 22476, NRRL B-41617",0,"Bacillus mojavensis",rod-shaped
1153,,"DSM 11821, CCM 4872, CCUG 58725, LMG 18989, CIP 105772, KCTC 3975, WSBC 10204",0,"Bacillus mycoides",rod-shaped
140523,,"CCUG 68786, NRRL B-41091",1,"Bacillus nakamurai",rod-shaped
140967,4049,"MCCC 1A00732, KCTC 33713, LMG 28871, NBRC 113921",1,"Bacillus nitratireducens",rod-shaped
1262,Kh10-101,"DSM 23308, CIP 109247, JCM 13040, ATCC BAA 1137",1,"Halalkalibacter okhensis",rod-shaped
140961,EB422,"MCCC 1A06182, KCTC 33858, CIP 111542, NBRC 113915",1,"Bacillus pacificus",rod-shaped
130193,,"DSM 24834, JCM 18975, KCTC 13786, NCCP 168",1,"Bacillus pakistanensis",rod-shaped
133957,RC2,"MTCC 9831, MCC 2100, KCTC 13724, CCM 7754",1,"Priestia paraflexa",rod-shaped
140968,NH24A2,"MCCC 1A04098, KCTC 33709, LMG 28876, NBRC 113922",1,"Bacillus paramycoides",rod-shaped
140960,Mn5,"MCCC 1A00395, KCTC 33714, LMG 28873, NBRC 113914",1,"Bacillus paranthracis",rod-shaped
140881,NR1-3-2,"JCM 19598, LMG 28281, PCU 340, TISTR 2295",1,"Bacillus piscicola",rod-shaped
134281,YN-1,"JCM 14604, NCIMB 14282, LMG 24733",1,"Evansella polygoni",rod-shaped
140966,TD42,"MCCC 1A00365, KCTC 33715, LMG 28870, NBRC 113920",1,"Bacillus proteolyticus",rod-shaped
1151,,"DSM 12442, NRRL B-617, JCM 12231, CIP 105700, LMG 18993",1,"Bacillus pseudomycoides",rod-shaped
166351,SPB7,"NRRL B-65559, CICC 24827, MCC 4185",1,"Bacillus rugosus",rod-shaped
166417,,"LMG 30124, CECT 9344, BC 09",1,"Bacillus safensis subsp. osmophilus",rod-shaped
134001,A24,"IBRC-M10078, KCTC 13816, IBRC-M 10078, CIP 110635",1,"Litchfieldia salsa",rod-shaped
1253,"BH 724, 6.101","DSM 16464, CIP 110058, KCTC 3913",1,"Bacillus seohaeanensis",rod-shaped
159795,AK72,"MTCC 12636, KCTC 33981, JCM 32183",1,"Bacillus shivajii",rod-shaped
1302,PD-A10,"DSM 25261, BCC 22614, KACC 16244, KCTC 13613",1,"Bacillus siamensis",rod-shaped
134009,H1-1M,"KCTC 13881, CCUG 61889, CAU 1033",1,"Bacillus songklensis",rod-shaped
1201,L87-10,"DSM 13779, NRRL B-23154, JCM 12232, CIP 107271, KCTC 13918, NBRC 101234",1,"Bacillus sonorensis",rod-shaped
140690,,"CCUG 70177, NRRL B-41294",1,"Bacillus swezeyi",rod-shaped
1270,"BH030017, 11.101","DSM 16466, CIP 109461, KCTC 3918, BCRC 80952",1,"Bacillus taeanensis",rod-shaped
158609,,"KCTC 33703, CGMCC 1.15917, EGI 80668",1,"Evansella tamaricis",rod-shaped
166386,,"KCTC 43131, CGMCC 1.17491, SYSU G01002",1,"Bacillus tepidiphilus",rod-shaped
134164,10b,"ATCC BAA 819, NCTC 13306",1,"Bacillus tequilensis",rod-shaped
140573,RA9,"LMG 29736, CECT 9170",1,"Siminovitchia terrae",rod-shaped
133927,SgZ-7,"CCTCC AB 2012030, KACC 16700",1,"Neobacillus thermocopriae",rod-shaped
133977,SgZ-8,"CCTCC AB 2012108, KACC 16706",1,"Bacillus thermotolerans",ovoid-shaped
140962,N24,"MCCC 1A01406, KCTC 33711, LMG 28874, NBRC 113916",1,"Bacillus tropicus",rod-shaped
23706,CBMB205,"DSM 28326, KACC 17006, KACC 13105, NCCB 100236",0,"Bacillus velezensis",rod-shaped
133012,,"DSM 102050, CIP 111364, LMG 29269, FSL W8-0169",1,"Bacillus wiedmannii",rod-shaped
140354,FJAT-27215,"DSM 100757, CCTCC AB 2015266",1,"Bacillus wudalianchiensis",rod-shaped
164466,FJAT-46582,"JCM 33155, CCTCC AB 2017047",1,"Bacillus xiapuensis",rod-shaped
164475,XXST-01,"JCM 33181, MCCC 1A14143",1,"Bacillus yapensis",rod-shaped
140879,DW5-4,"MCCC 1A08372, LMG 27144, KCTC 33531",1,"Bacillus zhangzhouensis",rod-shaped
133276,sw100,"JCM 30597, MCCC 1K00501, KCTC 42424",1,"Bacterioplanoides pacificum",vibrio-shaped
1617,,"DSM 19024, ATCC 43185, CCUG 38735, CIP 104201, JCM 9498, NCTC 13051, VPI 3452A",1,"Bacteroides caccae",rod-shaped
140882,"LIPI12-4-Ck732, JSAT12-4-Ck732, C13EG70","InaCC B449, NBRC 110958",1,"Bacteroides caecicola",rod-shaped
131518,I48,"DSM 26085, KCTC 15547",1,"Bacteroides caecimuris",rod-shaped
1623,CRE21,"DSM 14838, CCUG 44979, JCM 15632",1,"Bacteroides cellulosilyticus",rod-shaped
1628,"A 20","DSM 22519, JCM 16067, CCUG 60911, YIT 12056, KCTC 15128",1,"Bacteroides clarus",rod-shaped
1613,"PC 139","DSM 18011, CCUG 50528, JCM 13475, NRRL B-41113",1,"Bacteroides coprosuis",rod-shaped
158883,KGMB02408,"DSM 107828, KCTC 15687, JCM 34008",1,"Bacteroides faecalis",rod-shaped
22936,ST37,"DSM 26883, CCUG 60873, JCM 17102, KCTC 15666",1,"Bacteroides faecichinchillae",rod-shaped
1631,MAJ27,"CCUG 60914, DSM 24798, JCM 16478, KCTC 5823",1,"Bacteroides faecis",rod-shaped
1610,199,"DSM 17565, JCM 13345, CCUG 53890",1,"Bacteroides finegoldii",rod-shaped
1629,,"CCUG 60912, DSM 22534, JCM 16101, YIT 12057, KCTC 15129",1,"Bacteroides fluxus",rod-shaped
140883,"LIPI12-4-Ck844, JSAT12-4-Ck884, C13EG186","InaCC B451, NBRC 110963",1,"Bacteroides gallinaceus",rod-shaped
1624,XDT-1,"CCUG 60910, DSM 19988, JCM 15093, KCTC 15146",1,"Bacteroides graminisolvens",rod-shaped
1609,341,"CCUG 53889, DSM 17393, JCM 13265",1,"Bacteroides intestinalis",rod-shaped
158670,YS-aM39,"KCTC 15520, JCM 31393",1,"Bacteroides koreensis",rod-shaped
158671,R2F3-3-3,"KCTC 15460, JCM 31391",1,"Bacteroides kribbi",rod-shaped
1630,,"DSM 22535, JCM 16102, CCUG 60913, YIT 12058, KCTC 15130",1,"Bacteroides oleiciplenus",rod-shaped
1621,SV434,"DSM 19291, JCM 14649, CCUG 60909",1,"Bacteroides propionicifaciens",rod-shaped
133840,Rs-03,"JCM 10512, CCUG 62153, DSM 105720",1,"Bacteroides reticulotermitis",rod-shaped
131249,ST161,"DSM 26884, CCUG 60872, JCM 17103",1,"Bacteroides stercorirosoris",rod-shaped
1604,,"CCUG 4942, JCM 5828, CIP 103695, KCTC 5204, DSM 6597, ATCC 8492, VPI 0061, CGMCC 1.5133, NCTC 13054",1,"Bacteroides uniformis",rod-shaped
1626,XB1A,"DSM 18836, CCUG 53782, JCM 15633",1,"Bacteroides xylanisolvens",rod-shaped
131167,JJM0207_12,"DSM 100015",0,"Bacteroides xylanisolvens",rod-shaped
158509,,"DSM 108226, CGMCC 4.7547, KCTC 49229, YIM 75507",1,"Bailinhaonella thermotolerans",rod-shaped
17640,17S,"DSM 16304, ATCC BAA 736, JCM 11970",1,"Balnearium lithotrophicum",rod-shaped
133009,KHALHBd91,"DSM 28579, JCM 19909",1,"Balneicella halophila",rod-shaped
17739,CM41_14b,"DSM 19538, CIP 109603, OOB 103",1,"Balneola alkaliphila",rod-shaped
17738,13IX/A01/164,"DSM 17893, CIP 109092, OOB 256",1,"Balneola vulgaris",rod-shaped
12519,,"DSM 21032, JCM 15079, YIT 11860",1,"Barnesiella intestinihominis",rod-shaped
12518,C46,"CCUG 55593, DSM 18177, JCM 13660",1,"Barnesiella viscericola",rod-shaped
3935,39,"DSM 24617, CGMCC 4.6864, JCM 19663",1,"Barrientosiimonas humi",coccus-shaped
22987,MSW-24,"DSM 21415, JCM 19562, KCTC 19485",1,"Barrientosiimonas marina",coccus-shaped
23781,KS2-1,"DSM 28537, JCM 17706, KCTC 23907",1,"Bartonella acomydis",ovoid-shaped
1634,,"DSM 21432, CCUG 45774, CIP 105477, IBS 382",1,"Bartonella alsatica",rod-shaped
140945,PEB0122,"NCIMB 14961, DSM 29779",1,"Bartonella apis",rod-shaped
1637,91-4,"DSM 21464, CCUG 43828, CIP 106692",1,"Bartonella bovis",rod-shaped
23782,BR11-1,"DSM 28538, JCM 17709, KCTC 23909",1,"Bartonella callosciuri",ovoid-shaped
1638,,"DSM 21569, CCUG 43827, CIP 106691, IBS 193",1,"Bartonella capreoli",rod-shaped
1640,AUST/NH20,"DSM 23499, CCUG 52174, CIP 109064, CSUR B619",1,"Bartonella coopersplainsensis",rod-shaped
23783,OY2-1,"DSM 28562, JCM 17712, KCTC 23655",1,"Bartonella jaculi",ovoid-shaped
1643,,"DSM 23650, CIP 109861, JCM 15567, Fuji 18-1",1,"Bartonella japonica",rod-shaped
23784,FN15-2,"DSM 28563, JCM 17714, KCTC 23657",1,"Bartonella pachyuromydis",ovoid-shaped
1644,,"DSM 23649, CIP 109862, JCM 15566, Fuji 23-1",1,"Bartonella silvatica",rod-shaped
11757,JF4016,"DSM 22022, CCUG 57335",1,"Basfia succiniciproducens",ovoid-shaped
5363,,"DSM 19936, CCUG 55508, WCC 4188",1,"Bavariicoccus seileri",coccus-shaped
133124,D-402,"DSM 14946, UNIQEM U 779",1,"Beggiatoa leptomitoformis",
1672,"BF-2819, Hilger","DSM 19635, CECT 7311, LMG 2819",1,"Beijerinckia doebereinerae",rod-shaped
17716,BA134,"DSM 15883, CIP 108006, LMG 21964, UCCCB126",1,"Belliella baltica",rod-shaped
140946,5C,"VKM B-2724, KCTC 32194",1,"Belliella buryatensis",rod-shaped
24721,CC-SAL-25,"DSM 46698, BCRC 17883, KCTC 13248",1,"Belliella pelovolcani",rod-shaped
38,CP2C,"DSM 16746, ATCC BAA 1043, CIP 109215",1,"Belnapia moabensis",coccus-shaped
39,,"DSM 23312, CGMCC 1.10758, CPCC 100156",1,"Belnapia rosea",coccus-shaped
23491,PB-K8,"DSM 28067, JCM 18033, KCTC 23765",1,"Belnapia soli",coccus-shaped
11297,RED65,"DSM 23232, CCUG 52064, CECT 7074",1,"Bermanella marisrubri",spiral-shaped
12009,ge10,"DSM 19037, CGMCC 1.6762",1,"Bhargavaea beijingensis",coccus-shaped
12011,DSE10,"DSM 22132, JCM 14375, LMG 24411",1,"Bhargavaea cecembensis",rod-shaped
12010,ge14,"DSM 19038, CGMCC 1.6763",1,"Bhargavaea ginsengi",rod-shaped
23196,KJW98,"DSM 22308, KCTC 13583, LMG 25219",1,"Bhargavaea indica",rod-shaped
23197,,"DSM 26128, CCM 8429, LMG 27071, ZMA 19",1,"Bhargavaea ullalensis",rod-shaped
1748,Eg1,"DSM 24849, JCM 15918, KCTC 5756, BCRC 80257",0,"Bifidobacterium adolescentis",rod-shaped
23790,,"DSM 26737, JCM 18761, KCTC 15610, MRM 3/1",1,"Bifidobacterium aesculapii",rod-shaped
140310,RP115,"DSM 100238, CCM 8605, LMG 28779",1,"Bifidobacterium apri",rod-shaped
140884,"R 54638","LMG 28769, CCUG 67145",1,"Bifidobacterium aquikefiri",rod-shaped
1739,BluCI/TP,"DSM 19703, ATCC BAA 1567, KCTC 15159",1,"Bifidobacterium bombi",rod-shaped
158380,,"DSM 103152, JCM 31790, TRI 5",1,"Bifidobacterium callitrichidarum",rod-shaped
158387,,"DSM 103154, MRM 8.19, JCM 31794",1,"Bifidobacterium catulorum",rod-shaped
132454,LMM_E3,"DSM 100216, JCM 30801",1,"Bifidobacterium eulemuris",rod-shaped
132346,MRM_8.14,"DSM 100202, JCM 30799, MRM 8.14",1,"Bifidobacterium hapali",rod-shaped
159320,,"DSM 103362, JCM 31788, MRM 9.3",1,"Bifidobacterium jacchi",rod-shaped
131387,"Su 851","DSM 28597, JCM 19995, KCTC 15605",1,"Bifidobacterium longum subsp. suillum",rod-shaped
1726,Ru915B,"DSM 6492, ATCC 49391, CCUG 34976, JCM 8219, CGMCC 1.2273, KCTC 3369, KCTC 3423, LMG 11341",1,"Bifidobacterium merycicum",rod-shaped
1747,,"DSM 21395, JCM 15461, YIT 10443, KCTC 5848",1,"Bifidobacterium mongoliense",rod-shaped
132345,MRM_5.9,"DSM 100196, JCM 30796, MRM 5.9, KCTC 15589",1,"Bifidobacterium myosotis",rod-shaped
1738,T16,"DSM 22366, LMG 21775, NCIMB 13940, JCM 15958",1,"Bifidobacterium psychraerophilum",rod-shaped
1723,Ru687,"DSM 6489, ATCC 49390, CCUG 34975, JCM 8222, CGMCC 1.2241, KCTC 3425, LMG 12588, LMG 21811",1,"Bifidobacterium ruminantium",rod-shaped
132348,MRM_5.18,"DSM 100201, JCM 30798, MRM 5.18, KCTC 15590",1,"Bifidobacterium tissieri",rod-shaped
1740,"OMB 115","DSM 17777, JCM 13495",1,"Bifidobacterium tsurumiense",rod-shaped
164467,SK-G1,"JCM 33158, CCAM 530, KCTC 15783",1,"Biomaibacter acetigenes",curved-shaped
,,,,,rod-shaped
134133,APA1-,"ACAM 1056, CIP 108533",1,"Bizionia algoritergicola",rod-shaped
5714,"CCM-A-29 1259, JUB59","DSM 19628",1,"Bizionia argentinensis",rod-shaped
158654,RA3-3-1,"KCTC 62140, NBRC 113024",1,"Bizionia berychis",rod-shaped
5715,,"DSM 23925, KCTC 22015, KMM 6177, LMG 25220",1,"Bizionia echini",rod-shaped
134126,IC164,"ACAM 107, CIP 108536",1,"Bizionia gelidisalsuginis",rod-shaped
133837,T-y7,"KCTC 23881, CCUG 62110",1,"Bizionia hallyeonensis",rod-shaped
134125,ADA-4,"ACAM 1058, CIP 108535",1,"Bizionia myxarmorum",rod-shaped
134127,HFD,"ACAM 1059, CIP 108534",1,"Bizionia saleffrena",rod-shaped
140551,P131,"MCCC 1H00124, KCTC 42587",1,"Bizionia sediminis",rod-shaped
23454,"A2-16, A2_16","DSM 25172, LMG 26944",1,"Blastocatella fastidiosa",other
159723,P6,"NCIMB 15090, NRRL B-65468",1,"Blastococcus atacamensis",coccus-shaped
,,,,,rod-shaped
132667,,"DSM 46835, CECT 8876, BMG 804",1,"Blastococcus capsensis",coccus-shaped
159637,GP-S2-8,"DSM 106127, JCM 32354, KCCM 43275, KCTC 49078",1,"Blastococcus litoris",coccus-shaped
5813,,"CCUG 61911, DSM 44509, JCM 13239, NRRL B-24246, BC 444",1,"Blastococcus saxobsidens",coccus-shaped
140974,T2,"KCTC 42354, JCM 30467, DSM 112298",1,"Blastomonas fulva",rod-shaped
140358,SSR2A-4-2,"DSM 103453, CGMCC 1.15297",1,"Blastomonas marina",ovoid-shaped
133887,LHWP2,"KACC 15559, JCM 17758",1,"Bremerella cremea",ovoid-shaped
160830,"Enrichment 8, Enr8","DSM 100415, LMG 29081, LMG 2908",1,"Blastopirellula retiformator",other
24769,M25,"DSM 27629, JCM 17205, KCTC 5980",1,"Blautia faecis",ovoid-shaped
158642,KB1,"KCTC 15618, JCM 32276",1,"Blautia hominis",ovoid-shaped
133713,GAM6-1,"KCTC 5981, JCM 17204",1,"Blautia stercoris",coccus-shaped
1770,2017-12,"DSM 11294, CCUG 39178, HKI 88, JCM 11479, ATCC 700413, CIP 105404, NBRC 106158",1,"Bogoriella caseilytica",rod-shaped
140538,,"JCM 31623, KCTC 52452, MRM 1",1,"Bombella apis",rod-shaped
24142,,"DSM 26517, CCM 8440, KCTC 21042, BTLCH M1/2, BCRC 80961",1,"Bombilactobacillus bombi",curved-shaped
,,,,,rod-shaped
377,,"DSM 11332, ATCC 35086, CCUG 13726, LMG 1852, Hinz 591-77",1,"Bordetella avium",rod-shaped
378,,"DSM 11333, ATCC 51783, CIP 104527, LMG 13501, CCUG 33847, CCM 4584, TC 58, JCM 15550",1,"Bordetella hinzii",rod-shaped
374,18323,"DSM 5571, ATCC 9797, CCUG 30873, CCUG 17764, NCTC 10739, LMG 14455, CIP 63.1",1,"Bordetella pertussis",rod-shaped
382,Se-1111R,"DSM 12804, CCUG 43448, CIP 107267, ATCC BAA 461, CCM 7166",1,"Bordetella petrii",rod-shaped
133298,8-296-03,"DSM 106160, NCTC 13808, NRRL B-59942",0,"Bordetella pseudohinzii",rod-shaped
379,"1779, 22-93","DSM 11334, CCUG 32381, LMG 13506",1,"Bordetella trematum",rod-shaped
14311,DN127,"DSM 17990, CIP 109136",1,"Borrelia bissettiae",helical-shaped
14310,CA446,"DSM 17989, ATCC BAA 2689, CIP 109133",1,"Borrelia californiensis",helical-shaped
14313,"CA28, CA28-91","DSM 17992, CIP 109135",1,"Borrelia lanei",helical-shaped
14308,IST7,"DSM 16138, JCM 11958",1,"Borrelia turcica",rod-shaped
166197,,"LMG 31125, RCAM 04680",1,"Bosea caraganae",rod-shaped
1788,34614,"DSM 21596, CCUG 43111, CIP 106338",1,"Bosea eneae",rod-shaped
1791,R-46060,"DSM 26656, CCUG 61247, LMG 26379",1,"Bosea lathyri",rod-shaped
1792,R-45681,"DSM 26673, CCUG 61248, LMG 26383",1,"Bosea lupini",rod-shaped
1789,63287,"DSM 21079, CCUG 43117, CIP 106336",1,"Bosea massiliensis",rod-shaped
1787,,"CCUG 55772, DSM 13099, ATCC 700918, CIP 106457, AMX 51",1,"Bosea minatitlanensis",rod-shaped
166471,1131,"NRRL B-65405, LMG 30034",1,"Bosea psychrotolerans",rod-shaped
1793,R-46070,"DSM 26672, CCUG 61249, LMG 26381",1,"Bosea robiniae",rod-shaped
1786,BI-42,"DSM 9653, CCUG 55771, ATCC 700366",1,"Bosea thiooxidans",rod-shaped
1790,34635,"DSM 21229, CCUG 43114, CIP 106340, CCUG 43114 T",1,"Bosea vestrisii",rod-shaped
166358,Pla108,"DSM 103355, LMG 29803",1,"Botrimarina colliarenosi",other
160326,Pla111,"DSM 103485, STH 00945",1,"Botrimarina hoheduenensis",other
160513,Spa11,"DSM 100745, LMG 31350, CECT 9852, VKM B-3431",1,"Botrimarina mediterranea",other
166437,,"KCTC 52794, NBRC 112957, SYSU D60016",1,"Botryobacter ruber",rod-shaped
140290,VUL4_1,"DSM 104050, CGMCC 4.7370",1,"Boudabousia liubingyangii",rod-shaped
174,M1749/98/1,"DSM 15383, CCUG 41710, CIP 106509",1,"Boudabousia marimammalium",rod-shaped
158436,VUL4_3,"DSM 103436, CGMCC 4.7369",1,"Boudabousia tangfeifanii",rod-shaped
188,,"DSM 19116, CCUG 46092, CIP 107668",1,"Bowdeniella nasicola",rod-shaped
133432,W3-3A,"CGMCC 1.7086, LMG 24568, MCCC 1A01018",1,"Bowmanella pacifica",rod-shaped
132661,KWS-1,"DSM 28796, JCM 30059, MTCC 11836",1,"Brachybacterium aquaticum",coccus-shaped
159799,M1HQ-2,"KCTC 49087, CGMCC 1.16391, JCM 33403",1,"Brachybacterium endophyticum",coccus-shaped
140947,THG-S15-4,"KCTC 39563, CCTCC AB 2015116, JCM 31742",1,"Brachybacterium horti",coccus-shaped
3915,phenol-A,"DSM 22299, BCRC 17589, JCM 15157, LMG 23707",1,"Brachybacterium phenoliresistens",ovoid-shaped
3917,"JG 06","DSM 23186, IMCC 252, JCM 19544",1,"Brachybacterium saurashtrense",coccus-shaped
133630,M-6-3,"KACC 14221, JCM 16464",1,"Brachybacterium squillarum",coccus-shaped
3916,JB,"DSM 18832, CGMCC 1.6508, LMG 23926, JCM 15471",1,"Brachybacterium zhongshanense",rod-shaped
2909,AIMA4,"DSM 19884, LMG 24400",1,"Brachymonas chironomi",ovoid-shaped
343,,"DSM 13743, LMG 19451, NCIMB 13739, CCUG 47103, RKI 99-01984",1,"Brackiella oedipodis",coccus-shaped
166188,39S1MB,"LMG 29934, HAMBI 3680",1,"Bradyrhizobium amphicarpaeae",rod-shaped
140541,AMBPC1011,"CECT 9227, LMG 29967",1,"Bradyrhizobium cajani",rod-shaped
1817,CTAW11,"DSM 23720, CECT 7749, LMG 25866",1,"Bradyrhizobium cytisi",rod-shaped
133740,,"LMG 26137, HAMBI 3184, CGMCC 1.10947, CCBAU 15774",1,"Bradyrhizobium daqingense",rod-shaped
133983,"3I1B110, R-12974","IAM 13628, CCRC 13528, NRRL B-4361, NRRL B-4450, TAL 102, BCRC 13528, JCM 10833, TISTR 339, SEMIA 5032, ACCC 15034, CCT 4249, NBRC 14792, CNPSo 46, USDA 110",1,"Bradyrhizobium diazoefficiens",rod-shaped
166287,"U686, CL 20","USDA 10052, CNPSo 3426",1,"Bradyrhizobium frederickii",rod-shaped
133742,,"LMG 26136, CGMCC 1.10948, HAMBI 3180, CCBAU 23303",1,"Bradyrhizobium huanghuaihaiense",rod-shaped
1816,PAC68,"DSM 19632, CECT 7395, LMG 24556",1,"Bradyrhizobium jicamae",rod-shaped
1814,2281,"DSM 24092, CECT 4845, USDA 3622",1,"Bradyrhizobium liaoningense",rod-shaped
140478,U675,"LMG 30031, BR 6010, CNPSo 1165, SEMIA 6399",1,"Bradyrhizobium mercantei",rod-shaped
141148,5-10,"LMG 28789, DSM 100300, NTCCM 0017",1,"Bradyrhizobium namibiense",rod-shaped
1815,PAC48,"DSM 19631, CECT 7396, LMG 24246",1,"Bradyrhizobium pachyrhizi",rod-shaped
159767,,"LMG 30283, DSM 105795, NTCCM 0019, WR 4",1,"Bradyrhizobium ripae",rod-shaped
140809,H-8,"CNPSo 2823, HAMBI 3668, BR 446",1,"Bradyrhizobium stylosanthis",rod-shaped
166133,UFLA03-164,"LMG 31509",1,"Bradyrhizobium uaiense",rod-shaped
132365,7-2,"DSM 100297, LMG 28791, NTCCM 0018, DSMZ 100297",1,"Bradyrhizobium vignae",rod-shaped
22967,BM,"DSM 24659, JCM 16868",1,"Brassicibacter mesophilus",rod-shaped
160632,"Pan 97, Pan97","DSM 101992, LMG 29460",1,"Bremerella volcania",ovoid-shaped
166420,gBX10-1-2,"CFCC 11842, KCTC 42840",1,"Brenneria corticis",rod-shaped
22995,R-43656,"DSM 27058, BCC 845, FRB 141, LMG 26270, NCPPB 4484",1,"Brenneria goodwinii",rod-shaped
140740,D8-10-2-5,"CFCC 11935, KCTC 42841",1,"Brenneria populi subsp. brevivirga",rod-shaped
140739,D9-5,"CFCC 11963, KCTC 42088",1,"Brenneria populi subsp. populi",rod-shaped
11441,PDF25,"DSM 24395, LMG 26289",1,"Brevibacillus aydinogluensis",rod-shaped
132387,PDF4,"DSM 100115, NCCB 100559",1,"Brevibacillus gelatini",rod-shaped
11438,,"DSM 21346, KCTC 13938, LMG 23403, Gsoil 3088",1,"Brevibacillus ginsengisoli",curved-shaped
,,,,,rod-shaped
133398,,"ACCC 06527, JCM 30849, LAM 0312, KCTC 43189",1,"Brevibacillus halotolerans",rod-shaped
11437,R-12315,"DSM 18918, CIP 108307, KCTC 13000, LMG 22481, Logan B-1657",1,"Brevibacillus levickii",rod-shaped
23172,DA2,"DSM 26674, JCM 15774, NCIMB 14531",1,"Brevibacillus nitrificans",rod-shaped
11439,,"DSM 22869, JCM 15085, KCTC 13206, DCY 35",1,"Brevibacillus panacihumi",rod-shaped
132383,,"DSM 29928, CPCC 100738, YIM 78300, JCM 30638",1,"Brevibacillus sediminis",rod-shaped
1868,,"DSM 18261, CCTCC AB 206112, KCTC 19173, YIM 90718, JCM 15617",1,"Brevibacterium album",rod-shaped
133819,"KEMC41-098, A1","JCM 17537, KACC 15558, KEMC 41-098",1,"Brevibacterium ammoniilyticum",rod-shaped
1861,F-77,"DSM 15453, CIP 108809, JCM 13521, KMM 3637, ATCC BAA 809, LMG 21950",1,"Brevibacterium celere",rod-shaped
159885,BS05,"KACC 18875, LMG 29562, JCM 30949",1,"Brevibacterium hankyongi",rod-shaped
130226,SJ5-8,"DSM 29217, JCM 18571, KACC 16911",1,"Brevibacterium jeotgali",rod-shaped
1867,HFW-26,"DSM 18964, JBRI 2001, KCTC 19221, JCM 15618",1,"Brevibacterium marinum",rod-shaped
1866,BBH7,"DSM 21578, IAM 15353, JCM 21798, LMG 23457, BCRC 16991, NCIMB 14558",1,"Brevibacterium oceani",rod-shaped
1860,R-5391,"DSM 16132, CIP 108823, LMG 22061, JCM 13319",1,"Brevibacterium picturae",coccus-shaped
1870,TP12,"DSM 21720, JCM 17808, NCCB 100255",1,"Brevibacterium pityocampae",rod-shaped
1869,20,"DSM 21258, CCUG 56047, JCM 19110",1,"Brevibacterium ravenspurgense",rod-shaped
1843,5401308,"DSM 23039, CCUG 53855, CIP 109422, CSUR P26, JCM 18108",0,"Brevibacterium ravenspurgense",rod-shaped
1872,,"DSM 24775, CCTCC AB 208328, JCM 15900, KCTC 19616, TRM 415",1,"Brevibacterium salitolerans",rod-shaped
1865,SST-8,"DSM 19451, KCCM 42316, NRRL B-41420, JCM 14546",1,"Brevibacterium samyangense",ovoid-shaped
1871,01-Je-003,"DSM 22082, CCM 7649, CCUG 57423, JCM 30489",1,"Brevibacterium sandarakinum",coccus-shaped
133018,FXJ8.269,"DSM 102229, CGMCC 1.15472, JCM 32488",1,"Brevibacterium sediminis",rod-shaped
22937,MB18,"DSM 23676, LMG 25772, JCM 30994",1,"Brevibacterium siliguriense",rod-shaped
22938,MN-6-a,"DSM 24850, JCM 17779",1,"Brevibacterium yomogidense",rod-shaped
133971,DC2c-G4,"NBRC 108608, CIP 110457",1,"Brevifollis gellanilyticus",ovoid-shaped
132620,Ac_11_E3,"DSM 27934, LMG 28618",1,"Brevitalea aridisoli",rod-shaped
132621,Ac_16_C4,"DSM 29892, LMG 28995, LMG 29713",1,"Brevitalea deliciosa",rod-shaped
140885,NHI-13,"KEME 9005-016, KACC 18249, JCM 30385",1,"Brevundimonas albigilva",rod-shaped
2318,EMB102,"DSM 17977, KCTC 12609",1,"Brevundimonas aveniformis",rod-shaped
133379,FDRGB2b,"DSM 29841, NCAIM B.02621",1,"Brevundimonas balnearis",rod-shaped
2321,J22,"DSM 25335, JCM 15911, KCTC 22177",1,"Brevundimonas basaltis",rod-shaped
133414,GTAE24,"LMG 29500, CECT 9126",1,"Brevundimonas canariensis",rod-shaped
2322,,"DSM 24448, CCUG 58273, LMG 25346, MCS 24",1,"Brevundimonas halotolerans",rod-shaped
158618,CA-15,"KEMB 9005-528, KACC 19106, NBRC 112677",1,"Brevundimonas humi",rod-shaped
2312,KSL-102,"DSM 17033, CIP 109906, JCM 12928, KCTC 12380",1,"Brevundimonas kwangchunensis",rod-shaped
2319,DS-18,"DSM 23960, JCM 14602, KCTC 12871",1,"Brevundimonas lenta",rod-shaped
166488,NS26,"CGMCC 1.13680, NBRC 113554",1,"Brevundimonas lutea",rod-shaped
2320,BIO-TAS2-2,"DSM 23858, CCUG 57609, KCTC 22631",1,"Brevundimonas naejangsanensis",rod-shaped
2310,W1-2B,"DSM 14572, GTC 1043, JCM 11415, CGMCC 1.7035, CIP 108442, KCTC 12493",1,"Brevundimonas nasdae",rod-shaped
2323,,"DSM 24277, CCUG 57883, LMG 25261, FWC 40",1,"Brevundimonas poindexterae",rod-shaped
2324,,"DSM 24451, CCUG 57884, LMG 25262, FWC 43",0,"Brevundimonas staleyi",rod-shaped
133564,,"CCUG 1797, ATCC 14736, LMG 2337",1,"Brevundimonas vancanneytii",rod-shaped
133756,F3,"CGMCC 1.10683, JCM 17426",1,"Brevundimonas viscosa",rod-shaped
