"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Ability of spore formation"
14040,1-19,"DSM 19083, CGMCC 1.3457, CIP 109015, JCM 12547",1,"Flavimobilis marinus",0
140550,AQ6-291,"CCTCC AB 2016109, KCTC 52491",1,"Flavitalea antarctica",0
133734,JC2681,"KACC 14157, JCM 17112",1,"Flavivirga amylovorans",0
140956,EC2D5,"KCTC 52353, JCM 31796",1,"Flavivirga aquimarina",0
140955,ECD14,"KCTC 52352, JCM 31797",1,"Flavivirga eckloniae",0
133735,JC2682,"KACC 14158, JCM 17113",1,"Flavivirga jejuensis",0
166415,SSM4.2,"KCTC 72807, MCCC 1K04370",1,"Flavobacterium ajazii",0
133512,,"NBRC 102673, CIP 109574, TC 2",1,"Flavobacterium algicola",0
133830,MK3,"LMG 26441, NCCB 100384",1,"Myroides anatoliensis",0
5570,D3,"DSM 22555, CGMCC 1.6859, KCTC 22128, JCM 14864, CIP 109938",1,"Flavobacterium anhuiense",0
5557,AT1026,"DSM 19726, CIP 108750, IMSNU 14042, JCM 12383, KCTC 12222, KCTC 23290, KCTC 52532, LMG 25319",1,"Flavobacterium antarcticum",0
132986,TMd3a3,"DSM 100880, JCM 30987, BCRC 81042",1,"Flavobacterium aquicola",0
5585,LM-19-Fp,"DSM 24704, CCM 7939, CCUG 61031, LMG 26359",1,"Flavobacterium araucananum",0
133522,LM5,"CGMCC 1.7031, NBRC 104239",1,"Flavobacterium caeni",0
134275,454-2,"CECT 7184, CCUG 52969",1,"Myroides ceti",0
5572,NJ-26,"DSM 22462, CGMCC 1.6844, NBRC 103934",1,"Flavobacterium cheniae",0
5586,LM-09-Fp,"DSM 24724, CCM 7940, LMG 26360, CCUG 61032",1,"Flavobacterium chilense",0
159750,P3160,"LMG 30615, CCM 8826",1,"Flavobacterium chryseum",0
133489,CJ7,"KACC 13353, JCM 15651, CCUG 58910, CIP 110025, LMG 26729",1,"Flavobacterium chungangense",0
133366,wh15,"CCTCC AB 2015420, JCM 31173",1,"Myroides cloacae",0
5551,"1-S-2cl (Anacker 1956)","DSM 18644, ATCC 23463, CIP 103531, JCM 21141, LMG 10406, LMG 13035, NBRC 100251, NCIMB 2248, IAM 14301, NCMB 1038",1,"Flavobacterium columnare",0
133726,15C3,"KACC 14224, JCM 16527",1,"Flavobacterium compostarboris",0
5565,R2A45-3,"DSM 18830, CIP 109888, KACC 11732",1,"Flavobacterium cucumis",0
24023,E89,"DSM 25795, CIP 110384, LMG 26922",1,"Flavobacterium cutihirudinis",0
5546,GH1-10,"DSM 17708, CIP 109900, KACC 11422",1,"Flavobacterium daejeonense",0
5567,"EMB 117","CCUG 59869, DSM 17963, CIP 109898, KCTC 12612",1,"Flavobacterium defluvii",0
133629,LW30,"KCTC 22671, CCTCC AB 209201, CIP 110399",1,"Flavobacterium dongtanense",0
133825,DK69,"CCTCC AB 2011144, KCTC 23775",1,"Flavobacterium enshiense",0
140682,CB-3,"KEMB 9005-535, KACC 19112, NBRC 112704",1,"Flavobacterium flaviflagrans",0
140517,UCM-R15,"KACC 18666, NBRC 111764",1,"Flavobacterium fulvum",0
134059,,"KCTC 23318, JCM 17336, DCY 54, BCRC 81040, CIP 110819",1,"Flavobacterium ginsengisoli",0
133551,Gm-149,"ICMP 17618, NBRC 105008",1,"Flavobacterium glycines",0
140383,JM-222,"DSM 100397, CCM 8610, LMG 28821",1,"Flavobacterium gossypii",0
5547,KW05,"DSM 17797, IAM 15099, JCM 21560, KCTC 12201, NBRC 102009, DSM 19729",1,"Flavobacterium granuli",0
158810,KTCe-4,"KACC 16613, JCM 18198",1,"Flavobacterium hankyongi",0
5580,LQY-7,"DSM 22807, ACCC 05409, KCTC 23008, CIP 110398",1,"Flavobacterium haoranii",0
133965,BX12,"CCTCC AB 2012197, KCTC 32147",1,"Flavobacterium hauense",0
140519,UCM-46,"KACC 18575, NBRC 111657",1,"Flavobacterium humicola",0
5571,IP-10,"DSM 21886, CCM 7424, MTCC 8597",1,"Flavobacterium lindanitolerans",0
133332,xz20,"CCTCC AB 2015421, JCM 31174",1,"Flavobacterium luticocti",0
133979,SW105,"CGMCC 1.10825, JCM 18132",1,"Myroides aquimaris",0
158777,Brt-M,"KEMB 9005-692, KACC 19393, JCM 32171",1,"Flavobacterium naphtae",0
140564,R-10-9,"JCM 31673, KACC 18997, KEMB 9005-447",1,"Flavobacterium olei",0
140518,UCM-R36,"KACC 18668, NBRC 111765",1,"Flavobacterium pedocola",0
133578,GSW-R14,"KCTC 22802, CCUG 58402",1,"Flavobacterium ponti",0
159751,P3922,"LMG 30616, CCM 8827",1,"Flavobacterium psychroterrae",0
140761,EA-12,"CGMCC 1.15345, NBRC 111769",1,"Flavobacterium quisquiliarum",0
5573,BD-b365,"DSM 19382, CIP 109941, KCTC 22078, CCUG 59848",1,"Flavobacterium resistens",0
5558,S13,"DSM 21664, CGMCC 1.3801, JCM 13331, CCUG 60843, CIP 109164",1,"Flavobacterium saliperosum",0
5574,"SS7, YC06274","DSM 21067, CIP 110183, KCTC 22246",1,"Flavobacterium sasangense",0
158690,YSM-43,"KACC 19435, KCTC 62142, NBRC 113020",1,"Flavobacterium sediminilitoris",0
5561,AT1048,"DSM 19741, CIP 109332, IMSNU 14050, JCM 12385, KCTC 12224",1,"Flavobacterium segetis",0
166201,RD-2-33,"KEMB 9005-742, KACC 21178, NBRC 113789",1,"Flavobacterium silvisoli",0
133555,0533,"CGMCC 1.8704, JCM 16398",1,"Flavobacterium sinopsychrotolerans",0
5559,DS-6,"DSM 19725, CIP 108840, KCTC 12542",1,"Flavobacterium soli",0
141075,G16-7,"CGMCC 1.15461, KCTC 42947",1,"Flavobacterium suaedae",0
5545,"GH 29-5","DSM 17707, CIP 109901, KACC 11423",1,"Flavobacterium suncheonense",0
5564,R2A1-13,"DSM 18829, CIP 109887, KACC 11731",1,"Flavobacterium terrae",0
133149,,"CUG 00004, CCTCC AB 2014151, KCTC 42876",1,"Flavobacterium terriphilum",0
133486,0563,"CGMCC 1.6847, JCM 15087, CIP 110391",1,"Flavobacterium tiangeerense",0
166416,YH5,"CICC 24247, KCTC 62174",1,"Flavobacterium tibetense",0
141070,"GB 56.1","TISTR 1612, KCTC 42679",1,"Flavobacterium tistrianum",0
133702,DS-12,"CCM 7847, MTCC 10766",1,"Flavobacterium ummariense",0
133685,Sr25,"CGMCC 1.9230, NBRC 106480",1,"Flavobacterium urumqiense",0
166281,T13,"KCTC 62874, ACCC 60126",1,"Flavobacterium ustbae",0
5560,AT1042,"DSM 19727, CIP 109334, IMSNU 14048, JCM 12384, KCTC 12223",1,"Flavobacterium weaverense",0
133684,Sr22,"CGMCC 1.9227, NBRC 106479",1,"Flavobacterium xueshanense",0
133972,hg,"CCTCC AB 2012099, KACC 16855",1,"Flavobacterium yanchengense",0
134175,CL-GP79,"KCCM 42271, JCM 13398, CIP 109329, NCIMB 14446",1,"Flectobacillus lacus",0
133516,GFA-11,"BCRC 17834, LMG 24501",1,"Flectobacillus roseus",0
140254,R1,"DSM 105369, JCM 31060, KACC 18597",1,"Flexivirga oryzae",0
158536,HibF3,"LMG 29831, JCM 31735",1,"Floricoccus penangensis",0
158537,DF1,"LMG 29833, JCM 31733",1,"Floricoccus tropicus",0
132964,4DR5,"DSM 105135, JCM 19370, KCTC 32475",1,"Fluviicoccus keumensis",0
158665,CA-1,"KEMB 9005-526, KACC 19148, NBRC 112684",1,"Fluviicola kyonggii",0
134037,TQQ6,"BCRC 80447, LMG 27056, KCTC 32035",1,"Fluviimonas pallidilutea",0
6311,,"DSM 21208, CCTCC AA 208036, JCM 17809, YIM C003",1,"Fodinibacter luteus",0
133644,,"DSM 21935, ACCC 10716, YIM D17",1,"Fodinibius salinus",0
14023,,"DSM 21160, CCTCC AA 208037, YIM D812",1,"Fodinicurvata fenggangensis",0
14024,,"DSM 21159, KCTC 22351, YIM D82",1,"Fodinicurvata sediminis",0
11669,,"DSM 17643, CIP 110218, KCTC 13750, MTCC 7155, GPTSA 19",1,"Fontibacillus aquaticus",1
24294,P11-6,"DSM 28129, CECT 7605, CIP 110592, KCTC 13564",1,"Fontibacillus panacisegetis",1
133841,SgZ-2,"CCTCCM 2011498, KACC 16525",1,"Fontibacter ferrireducens",0
17720,CC-GZM-130,"DSM 22241, CCM 7650, CCUG 57694",1,"Fontibacter flavus",0
22969,BELH25,"DSM 24455, JCM 17559",1,"Fonticella tunisiensis",0
,,,,,1
23456,HA-01,"DSM 23609, CCUG 59713",1,"Fontimonas thermophila",0
5588,"M-2Alg 35-1","DSM 15362, KCTC 12365, LMG 23005, KMM 3901, DSM 19837",1,"Formosa agariphila",0
131144,,"DSM 16476, KMM 3553",1,"Formosa algae",0
133320,AHQ-12,"BCRC 80690, LMG 27847, KCTC 32501, DSM 109231",1,"Formosimonas limnophila",0
140267,AT2,"DSM 100451, CSUR P2014",1,"Fournierella massiliensis",0
141095,DL503,"LMG 29914, CGMCC 1.15944",1,"Franconibacter daqui",0
4377,513/05,"DSM 18396, CCUG 54944, CIP 109630, LMG 23732, JCM 16470",1,"Franconibacter helveticus",0
131722,"ACN14a, ULQ010201401","DSM 45986, CECT 9034",1,"Frankia alni",1
131723,"Ccl3, HFP020203, HFPCcl3","DSM 45818, CECT 9043",1,"Frankia casuarinae",1
131724,BMG5.12,"DSM 46783, CECT 9031",1,"Frankia elaeagni",1
17461,VA24,"DSM 26515, CGMCC 1.7053, NBRC 104236",1,"Frateuria terrea",0
134058,JC2236,"KACC 16935, JCM 15585",1,"Fretibacter rubidus",0
133239,,"LAM 9155, ACCC 19902, JCM 30848",1,"Frigoribacterium salinisoli",0
7502,E1HC-02,"DSM 17894, JCM 13598, CIP 109654",1,"Frondihabitans australicus",0
7503,RS-15,"DSM 22180, KCTC 13435, JCM 17442, CIP 110287",1,"Frondihabitans peucedani",0
6864,,"DSM 19113, CCUG 49949, CIP 108761, LAB 1679, LMG 22556, JCM 17831, BCRC 81233, CECT 7089, NRIC 0663",1,"Fructobacillus durionis",0
6863,LC-51,"DSM 15468, CECT 5759, JCM 17832, BCRC 81234, CIP 109309, LMG 23899, NCIMB 14364, NRIC 0698",1,"Fructobacillus pseudoficulneus",0
5993,"Z-7100, Z7100","DSM 24880, VKM B-2667",1,"Fuchsiella alkaliacetigena",1
134334,MTT-39,"NBRC 102624, KCTC 22214, CGMCC 1.7058",1,"Fulvibacter tottoriensis",0
133772,AK7,"MTCC 11053, JCM 17390",1,"Fulvivirga imtechensis",0
134217,,"CCTCC AB 206119, KCTC 12832, KMM 6220, JCM 16186, NBRC 106557",1,"Fulvivirga kasyanovii",0
4170,BSY,"DSM 21556, JCM 15519",1,"Fundidesulfovibrio butyratiphilus",0
6601,CS1,"CCUG 52239, ATCC BAA 822, DSM 15814, CIP 109910, JCM 16176, LMG 22972, VTT E-052790",1,"Furfurilactobacillus rossiae",0
6662,M1-212,"DSM 22696, CIP 109367, KCTC 3985, NBRC 101315, JCM 16155, NCIMB 14361",1,"Furfurilactobacillus siliginis",0
18033,BELH1,"DSM 24436, JCM 17481",1,"Fusibacter tunisiensis",0
24117,HT03-11,"DSM 26062, JCM 18507, YIT 12554, KCTC 15502",1,"Fusicatenibacter saccharivorans",0
5763,SOR,"DSM 19508, ATCC 51190, CCUG 32880, CIP 104878, JCM 11024, NCTC 11326",0,"Fusobacterium vincentii",0
5590,SMK-12,"DSM 17032, KCTC 12379, JCM 12931, IAM 15373, CIP 108967",1,"Gaetbulibacter saemankumensis",0
160213,"JZ-R-35, JZ R-35","DSM 107699, LMG 30901",1,"Galactobacter valiniphilus",0
140312,RP51,"DSM 100235, CCM 8606, LMG 28778",1,"Galliscardovia ingluviei",0
140515,GYP-24,"KCTC 42903, MCCC 1K01730",1,"Gelatiniphilus marinus",0
162600,CC-PW-75,"JCM 19754, BCRC 80759",1,"Gemmobacter aestuarii",0
133579,A1-9,"CGMCC 1.7029, NBRC 104254, DSM 108272",1,"Gemmobacter aquaticus",0
13657,DCA-1,"DSM 21823, CGMCC 1.7745",1,"Gemmobacter caeni",0
133857,JS43,"BCRC 80082, LMG 25376",1,"Gemmobacter fontiphilus",0
134036,Orc-4,"BCRC 80378, LMG 26667, KCTC 23714",1,"Gemmobacter lanyuensis",0
133682,Y12,"CCTCC AB 2010218, KCTC 23298",1,"Gemmobacter nanjingensis",0
13655,,"DSM 15620, JCM 11959, NBRC 100046, AST 4, CGMCC 1.8899, CGMCC 1.8904",1,"Gemmobacter nectariphilus",0
141098,CAM-8,"KACC 19224, JCM 31905",1,"Gemmobacter straminiformis",0
133896,Ruye-53,"BCRC 80261, KCTC 23310",1,"Gemmobacter tilapiae",0
,,,,,1
130339,Red1,"DSM 29995, DSM 23483, JCM 15104, JCM 30610, DSM 28483, KCTC 5626",1,"Geoalkalibacter subterraneus",0
1452,"DS1, R-35651","DSM 15726, LMG 23069, VKM B-2301",1,"Geobacillus jurassicus",1
1437,"BD 53, T 281","DSM 7263, ATCC 8005, NCIMB 8547, NRRL NRS-81, CCUG 28890, CIP 106929, LMG 9819, NCCB 30003, JCM 20319, BCRC 11223, IAM 11001, NBRC 102445",1,"Geobacillus kaustophilus",1
1450,N-3,"DSM 15325",1,"Geobacillus lituanicus",1
166233,1017,"VKM B-3132, KCTC 33986",1,"Geobacillus proteiniphilus",1
1419,R-35646,"DSM 22, ATCC 12980, CCM 2062, CCUG 26241, IAM 11062, LMG 6939, NBRC 12550, NCIMB 8923, NCTC 10339, VKM B-2231, IFO 12550, NCA 26, JCM 2501, BCRC 11092, CIP 66.23, KCTC 1665, KCTC 1752, NCFB 1768, NRRL B-1172, VKM B-510, VTT E-81128, UCCCB118",1,"Geobacillus stearothermophilus",1
1422,"R-35648, 178","DSM 730, BGSC 93, IFO 15316, LMG 19007, NBRC 15316, VKM B-1259",1,"Geobacillus thermocatenulatus",1
1433,"LEH-1, R-35636","DSM 5366, ATCC 43513, VKM B-2230",1,"Geobacillus thermoleovorans",1
1446,"B-10340, U","DSM 23175, VKM B-2229",1,"Geobacillus uzenensis",1
1439,3S-1,"DSM 13174, CIP 106305, JCM 12214, KCTC 3847",1,"Geobacillus vulcani",1
159838,AYN2,"MTCC 12749, KCTC 33950, JCM 32596, MTCC 12769",1,"Parageobacillus yumthangensis",1
24057,CF5/3,"DSM 45417, CCUG 62814, MTCC 11412, JCM 30064",1,"Geodermatophilus normandii",1
5822,CF9/1/1,"DSM 45421, CCUG 62764, MTCC 11415",1,"Geodermatophilus telluris",0
,,,,,1
141033,HF401,"KCTC 42595, MCCC 1H00119",1,"Geofilum rhodophaeum",0
133723,JAM-BA0501,"JCM 15548, NCIMB 14482",1,"Geofilum rubicundum",0
18133,BH1,"DSM 21769, JCM 15647",1,"Geomicrobium halophilum",0
,,,,,1
5803,Bem,"DSM 16622, ATCC BAA 1014, JCM 12645",1,"Geomonas bemidjiensis",0
23794,"2C6-43, 2C6-43N","DSM 25321, JCM 17459, KCTC 19801",1,"Georgenia daeguensis",0
158396,,"DSM 104473, CGMCC 1.15793, KCTC 39987, SYSU D8004, JCM 33037",1,"Georgenia deserti",0
164571,ZLJ0423,"JCM 33470, CGMCC 1.13681",1,"Georgenia faecalis",0
1775,,"DSM 21365, CCTCC AB 208144, JCM 17810, YIM 93316, NBRC 107839",1,"Georgenia halophila",0
23796,,"DSM 25884, NBRC 108941, SCSIO 15020",1,"Georgenia sediminis",0
1774,"TT 02-04","DSM 21501, NBRC 104148",1,"Georgenia thermotolerans",0
2867,VNs68,"DSM 17957, JCM 14037, CIP 109751",1,"Geosporobacter subterraneus",1
5807,FRC-32,"DSM 22248, JCM 15807",1,"Geotalea daltonii",0
5806,TMJ1,"DSM 19350, JCM 15764",1,"Geotalea toluenoxydans",0
2960,D-412,"DSM 12827, CIP 109213",1,"Giesbergeria kuznetsovii",0
2961,D-419,"DSM 12825, CIP 107340",1,"Giesbergeria voronezhensis",0
5600,R-8282,"DSM 15749, LMG 21470",1,"Gillisia limnaea",0
133955,CBA3202,"KACC 16693, KCTC 32030, JCM 18402",1,"Gillisia marina",0
134200,UST050418-085,"JCM 13546, NRRL B-41416, JCM 13564, CIP 109442",1,"Gillisia myxillae",0
17899,,"DSM 19667, CGMCC 1.7008, QM 42",1,"Gilvimarinus chinensis",0
451,,"DSM 14239, ACAM 615",1,"Glaciecola pallidula",0
7505,,"DSM 21135, NBRC 104264, AHU 1791",1,"Glaciibacter superstes",0
166145,RP-3-7,"KEMB 9005-731, KACC 21151, NBRC 113769",1,"Glaciihabitans arcticus",0
130507,A2-57,"DSM 100199, CIP 110539, LMG 27070, UCCCB36",1,"Glaciimonas singularis",0
194,1094,"DSM 22168, CCUG 57540",1,"Gleimia hominis",0
134017,T6203-4-1a,"JCM 19092, NCIMB 14860, LMG 27801",1,"Gluconacetobacter aggeris",0
134019,T61213-20-1a,"JCM 19094, NCIMB 14859, LMG 27800",1,"Gluconacetobacter takamatsuzukensis",0
134018,T611xx-1-4a,"JCM 19097, NCIMB 14861, LMG 27802",1,"Gluconacetobacter tumulisoli",0
166134,S5-52T,"KCTC 39846, LMG 29155",1,"Glutamicibacter mishrai",0
5840,LLR-39Z-86,"DSM 44727, JCM 14910, NRRL B-16327, NBRC 103888",1,"Glycomyces algeriensis",1
158364,,"DSM 46768, JCM 30088, KCTC 29495, EGI 6500139",1,"Glycomyces anabasis",1
5841,DPL-G-76,"DSM 44726, JCM 14911, NRRL B-16153, NBRC 103886",1,"Glycomyces arizonensis",0
,,,,,1
158370,SJ-25,"DSM 105121, CGMCC 4.7414",1,"Glycomyces dulcitolivorans",1
5843,,"DSM 45002, JCM 16001, KCTC 19152, YIM 56134, NBRC 107830",1,"Glycomyces endophyticus",1
5842,LLR-37B-118,"DSM 44724, JCM 14912, NBRC 107746, NRRL B-16149, NBRC 104152",1,"Glycomyces lechevalierae",1
158368,MH2460,"DSM 103727, NCCB 100631, UTMC 2460",1,"Glycomyces sediminimaris",1
13508,,"DSM 43935, CIP 109303, INA 3564, JCM 9110, NBRC 14988, NRRL B-24058, VKM Ac-1083, CGMCC 4.1709, IFO 14988, IMSNU 20127, KCTC 9390",1,"Goodfellowiella coeruleoviolacea",1
10613,,"DSM 44811, IFM 10211, JCM 12131, NBRC 100433, CCUG 53883, CIP 109346",1,"Gordonia araii",0
,,,,,1
10542,,"DSM 43247, ATCC 25592, JCM 3198, KCC A-0198, NCTC 10667, BCRC 13721, CCM 2631, CCUG 20989, CCUG 34317, CCUG 34956, CIP 100847, IFM 0150, IFO 16047, IMET 7370, IMSNU 22088, JCM 3231, KCTC 3076, LMG 5355, NBRC 16047, PCM 2167, VKM Ac-956",1,"Gordonia bronchialis",0
23155,"MJ32, N2-9","DSM 45852, JCM 16923, KCTC 19771",1,"Gordonia caeni",0
10611,,"CCUG 53882, CIP 109345, DSM 44810, IFM 10200, JCM 12130, NBRC 100432",1,"Gordonia effusa",0
,,,,,1
133133,HKU50,"CCOS 955, CIP 111027, NBRC 111234, NCCP 16210, JCM 31934",1,"Gordonia hongkongensis",0
10622,CC-12301,"DSM 45298, CCM 7727, CCUG 58853, JCM 17969",1,"Gordonia humi",0
10623,AD-6,"DSM 45646, CCTCC AB 209144, JCM 31031, NRRL B-59395",1,"Gordonia neofelifaecis",0
166494,RS15-1S,"TBRC 8485, NBRC 113446",1,"Gordonia oryzae",0
10624,Ca8,"DSM 45630, CCM 7957, CCUG 61533, LMG 26648, JCM 30490",1,"Gordonia phosphorivorans",0
141149,QH-11,"CICC 24107, KCTC 39933, DSM 108671",1,"Gordonia phthalatica",0
10548,,"DSM 43249, ATCC 25594, NCTC 10669, JCM 3206, BCRC 13382, CCM 2633, CCUG 34959, CECT 5707, CIP 104295, IFM 0161, IFO 16050, IMET 7371, JCM 3229, KCTC 9807, LMG 5369, NBRC 100016, NBRC 16050, NRRL B-16283, VKM Ac-1023",1,"Gordonia terrae",0
3075,7-10-1-b,"DSM 19378, CCUG 55131, KCTC 15161, JCM 16334",1,"Gordonibacter pamelaeae",0
24792,,"DSM 27213, CCUG 64261, KCTC 15440, CEBAS 1/15P, CEBAS 1/15",1,"Gordonibacter urolithinfaciens",0
1256,B1761,"DSM 18845, CIP 107105, JCM 12212, KCTC 3846, LMG 18422",1,"Gottfriedia luciferensis",1
158259,NEAU-cbsb5,"DSM 100485, CGMCC 1.14993",1,"Gottfriedia solisilvae",1
2537,9a,"DSM 604, ATCC 7906, IMG 1642, KCTC 5404",1,"Gottschalkia acidurici",1
2650,,"DSM 1384, ATCC 33906, WA 1",1,"Gottschalkia purinilytica",1
1469,"BH 097","DSM 19028, KCTC 13130",1,"Gracilibacillus bigeumensis",1
1461,T-16x,"DSM 17256, ATCC BAA 1190, CIP 109592, IAM 15263, JCM 21714",1,"Gracilibacillus boraciitolerans",1
1459,DD1,"DSM 11125, NCFB 3027",1,"Gracilibacillus dipsosauri",1
1463,YIM-C55.5,"DSM 17856, CGMCC 1.6303",1,"Gracilibacillus halophilus",1
1460,NN,"DSM 11805, JCM 10718, ATCC 700849",1,"Gracilibacillus halotolerans",1
1468,K170,"DSM 23178, CGMCC 1.10681",1,"Gracilibacillus kekensis",1
1464,BH312,"DSM 19029, KCTC 13129",1,"Gracilibacillus lacisalsi",1
23743,XH-63,"DSM 28158, AS 1.4250, CCM 7326, CECT 7097",1,"Gracilibacillus orientalis",1
1465,,"DSM 19802, CCTCC AA 208015, YIM 91119",1,"Gracilibacillus saliphilus",1
1466,TP2-8,"DSM 23862, JCM 15569, PCU 304, TISTR 1881, CGMCC 1.10450",1,"Gracilibacillus thailandensis",1
1467,MF38,"DSM 23863, CGMCC 1.7727, JCM 15711",1,"Gracilibacillus ureilyticus",1
140707,WDS2C40,"KCTC 52042, MCCC 1H00135",1,"Gracilimonas halophila",0
24739,,"DSM 21985, ACCC 10717, YIM J14",1,"Gracilimonas mengyeensis",0
134035,CL-KR2,"KCCM 90206, JCM 18898",1,"Gracilimonas rosea",1
17764,CL-CB462,"DSM 19535, KCCM 90063",1,"Gracilimonas tropica",0
,,,,,1
133966,BS12,"KACC 16188, JCM 17790",1,"Gramella aestuarii",0
24046,KT0803,"DSM 17595, CGMCC 1.15422",1,"Gramella forsetii",0
5718,UST040801-001,"DSM 23547, JCM 13192, NBRC 101534, NRRL B-41137, CIP 109020, KCTC 22434",1,"Gramella portivictoriae",0
159710,LPB0144,"KACC 18894, JCM 31560",1,"Gramella salexigens",0
141066,GHTF-27,"KCTC 52208, NBRC 111992",1,"Gramella sediminilitoris",0
138,TPB6028,"DSM 22516, LMG 25274, VKM B-2571",1,"Granulicella aggregans",0
22899,MP5ACTX8,"DSM 23137, ATCC BAA 1857",1,"Granulicella mallensis",0
139,OB1010,"DSM 22464, LMG 25275",1,"Granulicella paludicola",0
137,TPB6011,"DSM 21001, VKM B-2509",1,"Granulicella pectinivorans",0
136,"T4, TPO-1014","DSM 18704, ATCC BAA 1396, TPO 1014",1,"Granulicella rosea",0
22901,MP5ACTX9,"DSM 23138, ATCC BAA 1859",1,"Granulicella tundricola",0
12620,PG-02,"DSM 17626, ATCC BAA 1292, CIP 109593, JCM 15570, NBRC 107789",1,"Granulicoccus phenolivorans",0
17666,Z271,"DSM 25245, CIP 109923, KMM 6014",1,"Granulosicoccus coccoides",0
7515,,"DSM 22003, JCM 14773, KCTC 13163, DCY 26",1,"Gryllotalpicola ginsengisoli",0
17989,JE1S,"DSM 15657, CIP 108087, OMZ 913",1,"Guggenheimella bovis",0
10519,E4FC31,"DSM 18507, CCUG 54946, LMG 23770",1,"Gulbenkiania mobilis",0
7478,S7-7,"CCUG 50209, DSM 17450, IAM 14848, TISTR 1511, JCM 12920, CIP 108567, NBRC 103089",1,"Gulosibacter bifidus",0
7330,,"DSM 26462, CAU 9625, CCUG 60841, KCTC 13959",1,"Gulosibacter chungangensis",0
7329,ON4,"DSM 13485, CCUG 49965, LMG 21909, JCM 13320, CIP 108515, IAM 15172, NCIMB 14246",1,"Gulosibacter molinativorax",0
6091,204,"DSM 6132, ATCC 49870",1,"Guyparkeria halophila",0
166445,,"CGMCC 1.15525, NBRC 112424, HBUM 179779",1,"Gynurincola endophyticus",0
133593,,"CDC 4510-73, LMG 24706, ATCC 29927",1,"Hafnia paralvei",0
5851,FR1050,"DSM 17046, JCM 12486, KCTC 12277, CIP 108747, IMSNU 60136",1,"Hahella ganghwensis",0
1516,BH2,"DSM 18494, JCM 14192, BCRC 80128, CIP 109651",1,"Halalkalibacillus halophilus",1
1261,1139,"DSM 21942, ATCC 43226, CIP 109018, JCM 9157",1,"Halalkalibacter akibai",1
140404,B16-24,"DSM 29791, NCAIM B.02610",1,"Halalkalibacter kiskunsagensis",1
23707,NH3,"DSM 27953, CGMCC 1.10116, JCM 16507",1,"Halalkalibacter nanhaiisediminis",1
132157,SW109,"DSM 100579, CGMCC 1.12347",1,"Halalkalibacter oceani",1
158505,FJAT-45385,"DSM 104651, CCTCC AB 2016263",1,"Halalkalibacter urbisdiaboli",1
1240,N-1,"DSM 2521, ATCC 21832, FERM P-1138, JCM 9140, CIP 109022, FERM 1138",1,"Halalkalibacter wakoensis",1
5982,CEJFG43,"DSM 23230, JCM 16696",1,"Halanaerobacter jeridensis",0
,,,,,1
24065,"1Sehel, 1Sehl","DSM 25582, JCM 18213",1,"Halanaerobium sehlinense",0
5977,MH1-52-1,"DSM 22442, CECT 7534, JCM 16109",1,"Halarchaeum acidiphilum",0
166510,U0301,"CTC 62082, MCCC 1H00234",1,"Seongchinamella sediminis",0
133110,,"DSM 45977, CGMCC 4.7115, AFM 10258",1,"Haloactinomyces albus",1
17826,,"DSM 45211, KCTC 19409, YIM 93246",1,"Haloactinopolyspora alba",1
11262,,"DSM 45015, CCTCC AA 206008, JCM 16004, YIM 90648",1,"Haloactinospora alba",1
1347,AD-6,"DSM 18198, CGMCC 1.3703, CIP 109013, JCM 12771",1,"Halobacillus aidingensis",1
1355,FP5,"DSM 18525, ATCC BAA 1361",1,"Halobacillus alkaliphilus",1
130201,NEAU-ST10-40,"DSM 25866, CGMCC 1.12153",1,"Halobacillus andaensis",1
134280,ASL-17,"KCTC 13144, CCUG 54360, CIP 109718",1,"Halobacillus campisalis",1
1348,D-8,"DSM 18199, CGMCC 1.3704, JCM 12772, CIP 109012",1,"Halobacillus dabanensis",1
1352,IGA7-4,"DSM 21559, IAM 15427, KCTC 13121, MBIC 08268, JCM 23212, NBRC 103569",1,"Halobacillus faecis",1
1327,3,"DSM 2266, ATCC 35676, NCIMB 2269, JCM 20832, CCM 3527, CECT 5013, IAM 12846, IAM 13060, KCTC 3685, LMG 17431, NBRC 102448",1,"Halobacillus halophilus",1
130200,,"DSM 21184, KCTC 13235, JSM 07177, JSM 071077",0,"Halobacillus hunanensis",1
1344,"X78, MA-2","DSM 14948, CIP 108359, LMG 21515",1,"Halobacillus karajensis",1
1349,JS-Hb7,"DSM 18393, JCM 14155, CIP 109650",1,"Halobacillus kuroshimensis",1
1343,SL-4,"DSM 10405",1,"Halobacillus litoralis",1
1353,MS10,"DSM 21335, CCM 7397, CECT 7206",1,"Halobacillus mangrovi",1
22928,,"DSM 21183, KCTC 13234, JSM 071068",1,"Halobacillus naozhouensis",1
1350,JS-Hb4,"DSM 18394, JCM 14154, CIP 109643",1,"Halobacillus profundi",1
1351,HSL-3,"DSM 18897, CIP 108052, JCM 11546, KCCM 41590, CGMCC 1.3705, KCTC 3842",1,"Halobacillus salinus",1
1356,,"DSM 21185, KCTC 13236, JSM 078133",1,"Halobacillus salsuginis",1
1354,ISL-50,"DSM 22302, CCUG 54358, KCTC 13145",1,"Halobacillus seohaensis",1
1342,SL-5,"DSM 10404",1,"Halobacillus trueperi",1
