"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Cell width"
133398,,"ACCC 06527, JCM 30849, LAM 0312, KCTC 43189",1,"Brevibacillus halotolerans",0.2-0.8
11437,R-12315,"DSM 18918, CIP 108307, KCTC 13000, LMG 22481, Logan B-1657",1,"Brevibacillus levickii",0.75
23172,DA2,"DSM 26674, JCM 15774, NCIMB 14531",1,"Brevibacillus nitrificans",0.6
11439,,"DSM 22869, JCM 15085, KCTC 13206, DCY 35",1,"Brevibacillus panacihumi",0.45
132383,,"DSM 29928, CPCC 100738, YIM 78300, JCM 30638",1,"Brevibacillus sediminis",0.5-0.7
1868,,"DSM 18261, CCTCC AB 206112, KCTC 19173, YIM 90718, JCM 15617",1,"Brevibacterium album",1.8
133819,"KEMC41-098, A1","JCM 17537, KACC 15558, KEMC 41-098",1,"Brevibacterium ammoniilyticum",0.475
23808,"2C6-41, 2C6-41N","DSM 27938, JCM 17458, KCTC 19800",1,"Brevibacterium daeguense",0.65
159885,BS05,"KACC 18875, LMG 29562, JCM 30949",1,"Brevibacterium hankyongi",0.3-1.0
130226,SJ5-8,"DSM 29217, JCM 18571, KACC 16911",1,"Brevibacterium jeotgali",0.5
1867,HFW-26,"DSM 18964, JBRI 2001, KCTC 19221, JCM 15618",1,"Brevibacterium marinum",0.55
1866,BBH7,"DSM 21578, IAM 15353, JCM 21798, LMG 23457, BCRC 16991, NCIMB 14558",1,"Brevibacterium oceani",1.1
1860,R-5391,"DSM 16132, CIP 108823, LMG 22061, JCM 13319",1,"Brevibacterium picturae",1
1870,TP12,"DSM 21720, JCM 17808, NCCB 100255",1,"Brevibacterium pityocampae",0.5
1869,20,"DSM 21258, CCUG 56047, JCM 19110",1,"Brevibacterium ravenspurgense",0.3-0.5
1843,5401308,"DSM 23039, CCUG 53855, CIP 109422, CSUR P26, JCM 18108",0,"Brevibacterium ravenspurgense",0.4
1872,,"DSM 24775, CCTCC AB 208328, JCM 15900, KCTC 19616, TRM 415",1,"Brevibacterium salitolerans",0.6-1
1871,01-Je-003,"DSM 22082, CCM 7649, CCUG 57423, JCM 30489",1,"Brevibacterium sandarakinum",1
133018,FXJ8.269,"DSM 102229, CGMCC 1.15472, JCM 32488",1,"Brevibacterium sediminis",0.4-0.5
22937,MB18,"DSM 23676, LMG 25772, JCM 30994",1,"Brevibacterium siliguriense",0.4
22938,MN-6-a,"DSM 24850, JCM 17779",1,"Brevibacterium yomogidense",0.7
133971,DC2c-G4,"NBRC 108608, CIP 110457",1,"Brevifollis gellanilyticus",0.9
132620,Ac_11_E3,"DSM 27934, LMG 28618",1,"Brevitalea aridisoli",0.7-0.9
132621,Ac_16_C4,"DSM 29892, LMG 28995, LMG 29713",1,"Brevitalea deliciosa",0.6-0.8
133873,TAR-001,"JCM 18150, CECT 8073",1,"Brevundimonas abyssalis",0.4
140885,NHI-13,"KEME 9005-016, KACC 18249, JCM 30385",1,"Brevundimonas albigilva",0.3-0.4
2318,EMB102,"DSM 17977, KCTC 12609",1,"Brevundimonas aveniformis",0.35
133379,FDRGB2b,"DSM 29841, NCAIM B.02621",1,"Brevundimonas balnearis",0.3-0.7
133414,GTAE24,"LMG 29500, CECT 9126",1,"Brevundimonas canariensis",1.2-1.8
158618,CA-15,"KEMB 9005-528, KACC 19106, NBRC 112677",1,"Brevundimonas humi",0.45-0.55
2312,KSL-102,"DSM 17033, CIP 109906, JCM 12928, KCTC 12380",1,"Brevundimonas kwangchunensis",0.4-0.6
2319,DS-18,"DSM 23960, JCM 14602, KCTC 12871",1,"Brevundimonas lenta",0.4
166488,NS26,"CGMCC 1.13680, NBRC 113554",1,"Brevundimonas lutea",0.4-0.5
2320,BIO-TAS2-2,"DSM 23858, CCUG 57609, KCTC 22631",1,"Brevundimonas naejangsanensis",0.4
2310,W1-2B,"DSM 14572, GTC 1043, JCM 11415, CGMCC 1.7035, CIP 108442, KCTC 12493",1,"Brevundimonas nasdae",0.5
133756,F3,"CGMCC 1.10683, JCM 17426",1,"Brevundimonas viscosa",0.5
23331,Kam1851,"DSM 22653, VKM B-2685",1,"Brockia lithotrophica",0.35
134292,,"BCCN 94-74, NCTC 12891",1,"Brucella ceti",0.6
1882,OgA9a,"DSM 13338, NBRC 102586, CCUG 46362, CIP 107373, LMG 18954",1,"Brucella grignonensis",0.4
133528,"CPAM 6436, BO1","BCCN 09-01",1,"Brucella inopinata",0.6
134306,,"BCCN 07-01, CAPM 6434, CCM 4915",1,"Brucella microti",0.65
1887,,"CCUG 54940, DSM 17471, MTCC 4195, NBRC 102588",1,"Brucella oryzae",0.8
134291,,"BCCN 94-73, NCTC 12890",1,"Brucella pinnipedialis",0.6
1891,,"CCUG 55422, DSM 17490, CIP 109116, KCTC 22760, ADV 31",1,"Brucella pseudintermedia",0.65-0.75
1884,SCII24,"DSM 13340, NBRC 102585, CCUG 47104, LMG 18957, UCCCB44",1,"Brucella tritici",0.4-0.6
132528,F60,"DSM 101715, BCCN 09-2",1,"Brucella vulpis",0.5-0.7
140708,N62,"KCTC 42589, MCCC 1H00117",1,"Brumimicrobium aurantiacum",0.3-0.4
133865,YH207,"KCCM 42331, JCM 14063",1,"Brumimicrobium mesophilum",0.4
159793,LHR20,"KCTC 62372T, MCCC 1H00247",1,"Brumimicrobium salinarum",0.3-0.4
18092,,"DSM 18758, ATCC BAA 1390, MPL 3",1,"Bryobacter aggregatus",0.65
141,,"DSM 22489, LMG 25276, SN 10",1,"Bryocella elongata",0.7-1.0
22996,D9,"DSM 21983, CCM 7845",1,"Budvicia diplopodorum",0.8
141032,B15,"KCTC 52552, MCCC 1K03221",1,"Butyratibacter algicola",0.4-0.6
158474,H184,"DSM 106867, JCM 33535, LMG 30602",1,"Butyricimonas faecalis",0.4-0.5
133154,180-3,"DSM 105721, CCUG 65562, JCM 18676",1,"Butyricimonas faecihominis",0.7
,,,,,0.8-1.1
12522,MT01,"DSM 23225, CCUG 56610, JCM 15148, KCTC 15147",1,"Butyricimonas synergistica",1
12523,MT12,"DSM 23226, CCUG 56611, JCM 15149, KCTC 15148",1,"Butyricimonas virosa",1
166365,Pla144,"DSM 104841, VKM B-3442",1,"Bythopirellula polymerisocia",0.6-0.8
22942,R27,"DSM 25160, CGMCC 1.11013, LMG 27580",1,"Caballeronia grimmiae",0.5
133975,,"CCUG 63059, LMG 22934",1,"Caballeronia humi",0.7
159714,RPE64,"NCIMB 15023, JCM 31142",1,"Caballeronia insecticola",0.9
133976,,"CCUG 63060, LMG 22936",1,"Caballeronia telluris",0.7
133974,,"CCUG 63062, LMG 22937",1,"Caballeronia terrestris",0.7
23817,OP-1,"DSM 28073, CCTCC AB 2010354, KCTC 23300",1,"Caballeronia zhejiangensis",0.35
132575,B157,"DSM 101100, NBRC 111400",1,"Caenibacillus caldisaponilyticus",0.6-0.7
133087,CGII-59m2,"DSM 29806, NCAIM B.02615",1,"Caenimicrobium hargitense",0.6-0.8
3027,EMB320,"DSM 17982, KCTC 12616",1,"Caenimonas koreensis",0.5
166356,HX-9-20,"KCTC 72473, CCTCC AB 2019266",1,"Caenimonas sedimenti",0.7-0.8
134240,"K92T, K92","KCTC 12839, JCM 14346",1,"Caenispirillum bisanense",0.5-0.7
133755,AK4,"MTCC 10963, JCM 17360",1,"Caenispirillum salinarum",1
1222,AM-001,"DSM 16130, JCM 10596, CIP 109019",1,"Caldalkalibacillus mannanilyticus",0.7
134179,HA6,"CGMCC 1.4242, JCM 13486",1,"Caldalkalibacillus thermarum",0.5
1498,JW/WZ-YB58,"DSM 17740, ATCC BAA 1258",1,"Caldalkalibacillus uzonensis",0.75
16797,K67,"DSM 18923, VKM B-2408",1,"Caldanaerobacter uzonensis",0.4
16851,JW/YJL-F3,"DSM 17918, ATCC BAA 1278",1,"Caldanaerobius fijiensis",0.85
16902,"JW-Sb4, JW/SA-NV4","DSM 18802, ATCC BAA 1454",1,"Caldanaerovirga acetigignens",0.6
1324,Tf,"DSM 16016",1,"Caldibacillus debilis",0.5
18028,108,"DSM 18901, VKM B-2411",1,"Caldicellulosiruptor hydrothermalis",0.5-0.7
,,,,,0.6
18026,I77R1B,"DSM 12137, ATCC 700853",1,"Caldicellulosiruptor acetigenus",0.7-1
18029,2002,"DSM 18902, VKM B-2412",1,"Caldicellulosiruptor kronotskyensis",0.5-0.7
,,,,,0.6
18024,6A,"DSM 9545",1,"Caldicellulosiruptor acetigenus",0.7
140656,OB47,"ATCC BAA 2073, JCM 16842",1,"Caldicellulosiruptor obsidiansis",0.2
23443,D2C22,"DSM 24605, JCM 17646",1,"Caldicoprobacter guelmensis",0.35
17803,JW/HY-331,"DSM 21659, ATCC BAA 1711",1,"Caldicoprobacter oshimai",0.45
16896,DS,"DSM 19393, VKM B-2460",1,"Caldimicrobium rimae",0.5
132490,TF1,"DSM 29380, NBRC 110713",1,"Caldimicrobium thiodismutans",0.5-0.6
17798,AZM16c01,"DSM 21853, NBRC 104410",1,"Caldisericum exile",0.3
3846,Yu37-1,"DSM 19672, NBRC 101217",1,"Calditerrivibrio nitroreducens",0.4-0.5
18091,MC,"DSM 21940, VKM B-2536",1,"Caldithrix palaeochoryensis",0.2-0.3
158567,,"KCTC 52714, CGMCC 1.16330, YIM 72346",1,"Caldovatus sediminis",0.5-0.6
140587,R161,"JCM 31558, KACC 18906, KEMB 9005-404",1,"Calidifontibacter terrae",0.4-0.8
2523,RC3,"DSM 22476, JCM 15081, KCTC 5601",1,"Caloramator australicus",0.8-1
2525,45B,"DSM 22065, CCUG 57396",1,"Caloramator boliviensis",0.5
2524,VF08,"DSM 25793, JCM 15828, KCTC 5735",1,"Caloramator mitchellensis",0.6
22962,,"DSM 22093, CMPUJ U833, USBA A",1,"Caloramator quimbayensis",0.9
18088,SGL43,"DSM 23830, VKM B-2670",1,"Caloribacterium cisternae",0.4
140271,KR,"DSM 101605, VKM B-3022",1,"Calorithrix insularis",0.2-0.3
166387,"V22, AV28","DSM 29767, LMG 29080",1,"Calycomorphotria hydatis",0.5-0.9
1675,"B1252, UK34/07-5","DSM 24741, CCM 7941, CCUG 61094, CIP 110303",1,"Camelimonas abortus",0.4-0.6
,,,,,1
1674,"M 2040","DSM 22958, CCM 7696, CCUG 58638",1,"Camelimonas lactis",1
158813,THG-YT1,"KACC 19471, CGMCC 1.16306",1,"Camelliibacillus cellulosilyticus",0.5-1.0
10428,TB-2,"DSM 16658, JCM 12641",1,"Caminibacter mediatlanticus",0.75
10427,CR,"DSM 15016, JCM 11957",1,"Caminibacter profundus",0.5
166274,CA656,"CCUG 73571, CIP 111675",1,"Campylobacter armoricus",0.3
133481,86/06,"LMG 24591, CCUG 56292",1,"Campylobacter avium",0.2-0.4
2139,L266,"DSM 22948, CCUG 54429, LMG 24001, LMG 54429, KCTC 15211",1,"Campylobacter canadensis",0.55
2140,150B,"CIP 110020, DSM 23162, CCUG 56289, LMG 24588",1,"Campylobacter cuniculorum",0.2-0.4
133218,HV10,"NCTC 13823, CIP 111092",1,"Campylobacter hepaticus",0.3-0.4
2138,CH001A,"DSM 21671, CCUG 45161, CIP 107682, LMG 19568, NCTC 13146",1,"Campylobacter hominis",0.25-0.5
2137,80-4577-4,"DSM 19053, ATCC 35217, CCUG 14169, CIP 103750, LMG 7817, NCTC 11608, LMG 6445",1,"Campylobacter hyointestinalis subsp. hyointestinalis",0.2-0.5
140602,WBE38,"CECT 9147, LMG 29815, CCUG 69482",1,"Campylobacter ornithocola",0.3-0.5
2136,"SU A4","DSM 19458, ATCC 51146, CCUG 30254, JCM 12989, CIP 103970, KCTC 15202, LMG 12635",1,"Campylobacter showae",0.5-0.8
390,BZ59,"DSM 22805, CGMCC 1.10190, LMG 26046",1,"Candidimonas bauzanensis",0.8
5495,,"DSM 22902, CCUG 51857, NCTC 13375, AHN 8855",1,"Capnocytophaga leadbetteri",0.4
17981,,"DSM 23132, VKM B-2609, SLM 61",1,"Carboxydocella manganica",0.5-0.6
17980,Kar,"DSM 16521, VKM B-2358",1,"Carboxydocella sporoproducens",0.5
16808,1315,"DSM 21278, VKM B-2474, VKPM 9905B",1,"Carboxydothermus siderophilus",0.5
133257,Q15,"CICC 23923, KCTC 42707",1,"Carboxylicivirga flava",0.3-0.6
158815,JR1,"MCCC 1K03323, KCTC 52869",1,"Carboxylicivirga sediminis",0.1-0.4
158403,CP-1,"DSM 103363, CGMCC 1.15643",1,"Carnobacterium antarcticum",0.8-1.0
2271,MS3,"DSM 23388, JCM 15539, KCTC 13251",1,"Carnobacterium jeotgali",0.75
349,Ho-11,"DSM 22240, KCTC 12197, LMG 23411",1,"Castellaniella caeni",0.3-0.5
351,MJ06,"DSM 25289, JCM 16240, KCTC 22454",1,"Castellaniella daejeonensis",0.3-0.5
348,NKNTAU,"CIP 109221, DSM 11046, CCUG 39541",1,"Castellaniella denitrificans",0.2-0.8
158759,CC-YTH191,"BCRC 81023, JCM 31755",1,"Castellaniella fermenti",0.9-1.2
350,,"DSM 23970, JCM 15515, KCTC 22398, DCY 36",1,"Castellaniella ginsengisoli",0.7-0.8
22904,E103,"DSM 25756, CCUG 62394, LMG 26910",1,"Castellaniella hirudinis",0.5
139755,CG19-1,"DSM 106146, CCUG 71490, JCM 33534",1,"Catenibacillus scindens",0.6-1.0
140748,D2,"KCTC 42869, MCCC 1H00129",1,"Catenovulum sediminis",0.7-1.2
17636,"ID 139908","DSM 44928, NRRL B-24433, JCM 14897, BCRC 16841, CIP 109381, NBRC 102108",1,"Catenulispora acidiphila",0.5
23350,BR-34,"DSM 45863, KACC 15070, NBRC 107755",1,"Catenulispora graminis",1
17637,Aac-30,"DSM 44948, JCM 16000, NBRC 101179",1,"Catenulispora rubra",1.1
166388,Pan44,"DSM 29405, LMG 29788",1,"Caulifigura coniformis",0.9-1.1
133973,H-E3-2,"KCTC 32211, JCM 18689",1,"Caulobacter daechungensis",0.6
140721,THG-AG3.4,"KACC 18849, CCTCC AB 2016077, CCUG 72326",0,"Caulobacter hibisci",0.5-0.6
140608,7F14,"CGMCC 1.15915, KCTC 52515",1,"Caulobacter rhizosphaerae",1.1-1.3
132488,,"DSM 101949, CCUG 39713",1,"Caviibacter abscessus",0.47
24724,RQ-33,"DSM 21411, LMG 24596",1,"Cecembia calidifontis",0.6
133802,LW9,"CCUG 58316, KCTC 22772",1,"Cecembia lonarensis",0.55
23239,L-6,"DSM 27375, CCUG 60799, KCTC 23497",1,"Celeribacter baekdonensis",0.8
13861,ZXM137,"DSM 26270, CGMCC 1.8891, LMG 24854",1,"Celeribacter halophilus",0.3
13855,"H 14","DSM 26471, CIP 109922, KMM 6012",1,"Celeribacter neptunius",0.4-0.9
140857,SBU1,"MCCC 1A00672, DSM 100434",1,"Celeribacter persicus",0.4-0.5
24746,C7,"DSM 21888, VKM B-2511",1,"Celerinatantimonas yamalensis",0.75
2373,5420S-23,"DSM 18649, KACC 20692, JCM 16376, NBRC 106308",1,"Cellulomonas aerilata",0.9
166213,TKZ-21,"NBRC 112905, TBRC 8129",1,"Cellulomonas algicola",0.4-0.5
2375,T26,"DSM 26485, CCTCC AB 2010450, CGMCC 1.10786, KCTC 19824, JCM 19664, NBRC 110798",1,"Cellulomonas carbonis",0.65
2372,XBU-b,"DSM 17922, KCTC 19133, JCM 16927, NBRC 110799",1,"Cellulomonas chitinilytica",0.4-0.6
140657,,"ATCC 13127",1,"Cellulomonas gilvus",0.75-1.5
2376,Kc5,"DSM 24482, JCM 17534, NBRC 109435",1,"Cellulomonas oligotrophica",2
2377,Kc1,"DSM 24484, JCM 17535, NBRC 109434",1,"Cellulomonas soli",1.5
2368,XIL11,"DSM 16933, CECT 5729, LMG 21723, JCM 14281, CIP 108340, NBRC 101102",1,"Cellulomonas xylanilytica",1.4
5500,IC166,"DSM 14237, ACAM 630",1,"Cellulophaga algicola",0.4-0.5
5501,NN015840,"DSM 24729, ATCC 700862, CIP 106307, LMG 18535, NCIMB 13610",1,"Cellulophaga baltica",0.6-0.8
133730,M-M6,"KCTC 23498, CCUG 60801",1,"Cellulophaga geojensis",0.65
5499,"LIM -21","DSM 7489, ATCC 23178, IAM 14306, Cy l20, JCM 8516, CECT 5014, CIP 103822, IFO 14961, KCTC 2913, KCTC 2914, LMG 1344, LMG 8371, NBRC 14961, NCIMB 1423, VKM B-1433",1,"Cellulophaga lytica",0.4-0.8
133654,,"JCM 11735, LMG 21938, KMM 3664, CIP 108317, NBRC 101531",1,"Cellulophaga pacifica",0.6
5503,EM41,"DSM 21164, KCTC 22297",1,"Cellulophaga tyrosinoxydans",0.5
133658,A6,"TISTR 1915, KCTC 5874",1,"Cellulosibacter alkalithermophilus",0.25
133558,H1,"CGMCC 1.5065, JCM 14822, DSM 23859",1,"Cellulosilyticum ruminicola",0.65
12581,"C8821, W6122","DSM 16025, ATCC BAA 886, CCUG 50705, JCM 14302, CIP 108915, NBRC 104118, VTT E-072700",1,"Cellulosimicrobium funkei",1
12582,DS-61,"DSM 18665, KCTC 19206, JCM 15619, NBRC 106259",1,"Cellulosimicrobium terreum",0.6
140697,MVW-40,"BCRC 80977, LMG 29557, KCTC 52237",1,"Cellvibrio fontiphilus",0.5-1
140658,,"NCDO 2697, NCIMB 10462",1,"Cellvibrio japonicus",0.5-0.7
1325,BLxT,"DSM 15825, IAM 15044, JCM 21507, KCTC 3815",1,"Cerasibacillus quisquiliarum",0.8
134262,YM26-026,"MBIC 082805, KCTC 12870",1,"Cerasicoccus arenae",0.9
13656,JA139,"DSM 18774, CCUG 53722, JCM 14338, BCRC 80280, KCTC 5728",1,"Cereibacter changlensis",0.9
133666,311,"CCTCC AB 207142, KACC 15456",1,"Cesiribacter roseus",0.4-0.5
166151,PRB40,"MCC 3406, GDMCC 1.1197, KCTC 52678, LMG 29985",1,"Chakrabartia godavariana",0.2-0.3
158533,SM1355,"JCM 30336, CCTCC AB 2014246",1,"Changchengzhania lutea",0.4-0.6
132550,RB-25,"DSM 28811, LMG 28304",1,"Chania multitudinisentens",3-4
11897,,"DSM 9103, VKM B-2394",1,"Chelativorans multitrophicus",0.75
133437,LPM-4,"VKM B-2395, DSM 19276",0,"Chelativorans multitrophicus",0.75
133085,PC-2,"DSM 101465, CGMCC 1.15283",1,"Chelatococcus composti",0.8-1.0
1654,K106,"DSM 22069, CCUG 54519, KCTC 12979",1,"Chelatococcus daeguensis",0.3-0.6
133219,B2974,"DSM 105737, JCM 30308, CGMCC 1.12919",1,"Chelatococcus reniformis",0.3-0.8
1653,HT4,"DSM 18167, JCM 14988",1,"Chelatococcus sambhunathii",0.8-1.0
132989,,"DSM 100641, CCTCC AB 2015175, KCTC 42661, CHL 1",1,"Chenggangzhangella methanolivorans",0.9-1
166177,YPA3-1-1,"MCCC 1A14042, KCTC 43019",1,"Chengkuizengella marina",0.5
140684,J15A17,"KCTC 33759, MCCC 1H00137",1,"Chengkuizengella sediminis",0.2-0.5
24683,CC-YHH031,"DSM 24163, BCRC 80273, JCM 17639, CECT 9202, DSM 24137",1,"Chiayiivirga flava",0.3
,,,,,0.8
10448,TNR-14,"DSM 22217, BCRC 17968, LMG 25206",1,"Chitinibacter alvei",0.6
133181,STM-7,"BCRC 80923, LMG 29289, KCTC 42982, DSM 107335",1,"Chitinibacter fontanus",0.4-0.6
10447,S1,"DSM 15459, BCRC 17254",1,"Chitinibacter tainanensis",0.7
10523,c14,"DSM 21506, BCRC 17533, LMG 23346",1,"Chitinilyticum aquatile",0.35
10524,c1,"DSM 21440, BCRC 17609",1,"Chitinilyticum litopenaei",0.4
158568,H2,"KCTC 52574, LMG 29894",1,"Chitinimonas lacunae",0.3-0.4
23450,KL-9,"DSM 27165, BCRC 80168, LMG 25530",1,"Chitinivorax tropicus",0.35
166466,T22,"ACCC 60125, KCTC 62518",1,"Chitinophaga alhagiae",0.2-0.5
159860,13,"CICC 24262, KCTC 62265",1,"Chitinophaga caeni",0.4-0.6
133826,"R156-2, RI56-2","ACCC 05363, KCTC 23738",1,"Chitinophaga cymbidii",0.3
166493,XJ-2,"KCTC 62443, CCTCC AB 2018019",1,"Chitinophaga deserti",0.5-0.8
17747,M1-09,"DSM 18108, KCTC 12654, Gsoil 040",1,"Chitinophaga ginsengisegetis",0.5
166525,ZY74,"CCTCC AB 2018369, KCTC 72039",1,"Chitinophaga lutea",0.3-0.6
17750,JS13-10,"DSM 24787, JCM 15440, KACC 12952, NBRC 106412, UCCCB101",1,"Chitinophaga niabensis",0.6
17751,JS16-4,"DSM 24859, JCM 15441, KACC 12954",1,"Chitinophaga niastensis",0.65
133769,YC7001,"KACC 14533, JCM 16595, NBRC 109756",1,"Chitinophaga oryziterrae",0.35
159794,LY-1,"CCTCC AB 2018018, KCTC 62444",1,"Chitinophaga parva",0.4-0.5
17740,,"DSM 2588, ATCC 43595, IFO 15968, NBRC 15968, UQM 2034",1,"Chitinophaga pinensis",0.5-0.8
140710,T16R-86,"KACC 18790, JCM 31600",1,"Chitinophaga rhizosphaerae",0.5-0.6
17752,CS5-B1,"DSM 21039, KCTC 22170",1,"Chitinophaga rupis",0.55
140711,TFL-3,"ACCC 19966, KCTC 52590",1,"Chitinophaga sedimenti",0.5-0.7
166453,K20C18050901,"GDMCC 1.1411, KCTC 62860",1,"Chitinophaga silvisoli",0.4-0.5
17749,KP01,"DSM 23920, KCTC 12836, LMG 24015, CIP 109744",1,"Chitinophaga terrae",0.4
159706,10-7W-9003,"GDMCC 1.1252, KACC 19415, KCTC 52926",1,"Chitinophaga varians",0.4-0.5
,,,,,0.5-0.7
2396,4930,"DSM 1677",1,"Chlorobaculum limnaeum",0.6-0.8
2397,,"DSM 263",1,"Chlorobaculum parvum",0.7-1.1
2395,TLS,"DSM 12025, ATCC 49652",1,"Chlorobaculum tepidum",0.6-0.8
2398,6230,"DSM 249, VKM B-3634, NBRC 106566",1,"Chlorobaculum thiosulfatiphilum",0.7-1.1
133098,isl-2,"DSM 29225, JCM 30533, VKM B-2978",1,"Chloroflexus islandicus",0.6
24747,,"DSM 22607, JCM 16072, YIT 12065, KCTC 15498",1,"Christensenella minuta",0.4
133287,IITR-71,"MTCC 11059, JCM 30068, KCTC 52433",1,"Chromobacterium alkanivorans",0.3-0.6
10453,CC-SEYA-1,"DSM 19852, BCRC 17769, CCUG 55175",1,"Chromobacterium aquaticum",0.4
164146,,"JCM 31884, NRRL B-67132, IIBBL 112-1",1,"Chromobacterium phragmitis",0.98
10454,,"DSM 23278, CCM 3329, LMG 3947, CCUG 30097",1,"Chromobacterium piscinae",0.4
133161,,"LAM 1188, ACCC 19900, JCM 31180",1,"Chromobacterium rhizoryzae",0.4-0.5
10451,PRAA4-1,"DSM 17043, NRRL B-30655",1,"Chromobacterium subtsugae",0.7
23150,MWU205,"DSM 25150, ATCC BAA 2314",1,"Chromobacterium vaccinii",1.19
10455,"strain Lewitus","DSM 23279, CCM 2076, LMG 3953, NCTC 8182",0,"Chromobacterium violaceum",0.4
134283,43,"CECT 7219, CCM 7416",1,"Chromohalobacter japonicus",0.4
6001,"4N, LTS-4N","DSM 14323, CECT 5315",1,"Chromohalobacter nigrandesensis",0.35-0.5
6000,LV4,"DSM 15547, ATCC BAA 761, CCUG 47987, CIP 108589",1,"Chromohalobacter sarecensis",0.65
134065,KM,"ATCC BAA 2160, NRRL B-59516, KCTC 23297",1,"Chryseobacterium angstadtii",0.5
133494,"NF 1366","CCUG 52764, CIP 109762",1,"Chryseobacterium anthropi",0.75
134323,"Oct-46, 10-46","KCTC 12483, CECT 7302",1,"Chryseobacterium aquaticum",0.45
134319,CW9,"KCTC 12894, JCM 14756, CIP 110377",1,"Chryseobacterium aquifrigidense",0.75
23025,CC-VM-7,"DSM 25208, CCM 7645, CCUG 57618",1,"Chryseobacterium arthrosphaerae",1
159792,F30,"KCTC 62135, MCCC 1K03457",1,"Chryseobacterium aurantiacum",0.2-0.5
164468,17S1E7,"JCM 33165, KACC 19920",1,"Chryseobacterium aureum",0.5
5691,H9,"DSM 19482, LMG 24227",1,"Chryseobacterium bovis",0.7
5741,HM0024,"DSM 22323, CECT 7503, KCTC 22689",1,"Chryseobacterium buanense",0.6
24038,9_R23581,"DSM 25581, LMG 26732",1,"Chryseobacterium carnipullorum",0.39
5711,"Sa 1147-06","DSM 23145, CCM 7737, CIP 110405, CCUG 58959",1,"Chryseobacterium chaponense",1
133363,,"KACC 18798, JCM 31422, GSE 06",1,"Chryseobacterium cucumeris",0.5-0.8
5709,R4-1A,"DSM 23031, CCM 7716, LMG 25442, CCUG 58784",1,"Chryseobacterium culicis",1
5689,K105,"DSM 19388, JCM 14362, KCTC 12841, CIP 110016",1,"Chryseobacterium daeguense",0.4-0.6
133361,CC-YTH209,"BCRC 80938, JCM 31226",1,"Chryseobacterium endophyticum",0.6-0.8
132874,"CW-E 2","DSM 18973",1,"Chryseobacterium flavum",0.6
24035,PB4,"DSM 26000, LMG 27025",1,"Chryseobacterium frigidisoli",0.45
132418,D07,"DSM 100383, CCTCC AB 2011160, KCTC 42897",1,"Chryseobacterium frigidum",0.53-0.63
5698,5-1St1a,"DSM 18014, CCUG 52549",1,"Chryseobacterium gambrini",1.1
133901,,"KCTC 23760, JCM 18019, DCY 63",1,"Chryseobacterium ginsengisoli",0.5
5688,"P 461/12","DSM 19109, LMG 24052",1,"Chryseobacterium gregarium",0.7
134032,THG-A18,"KACC 16227, LMG 26579",1,"Chryseobacterium gwangjuense",0.75
5687,H38,"DSM 19056, LMG 24029",1,"Chryseobacterium haifense",0.75
5510,H1,"DSM 19921, LMG 24401",1,"Chryseobacterium halperniae",0.8
24039,AG13,"DSM 25574, CCUG 63019",1,"Chryseobacterium hispalense",0.4
134193,VP48,"CECT 7129, CCM 7359, JCM 13554",1,"Chryseobacterium hispanicum",0.9
5695,P2K6,"DSM 19326, CIP 109575",1,"Chryseobacterium hominis",0.5
5696,NF802,"DSM 22165, CCUG 52711, CIP 109415",0,"Chryseobacterium hominis",1.25
5705,ECP37,"DSM 21580, LMG 24684, NBRC 104927",1,"Chryseobacterium humi",0.55
5694,CHB-20p,"DSM 19684, NCAIM B2269, NCAIM B.02269",1,"Chryseobacterium hungaricum",0.5
5702,JS17-8,"DSM 19299, KACC 12501",1,"Chryseobacterium jejuense",0.65
133961,KJ1R5,"KACC 13029, JCM 15904",1,"Chryseobacterium kwangjuense",0.9
133389,XC0022,"KCTC 52364, MCCC 1K02723",1,"Chryseobacterium lineare",0.8-1.0
134294,,"KCCM 42689, NBRC 103143, IMCC 3228",1,"Chryseobacterium marinum",0.65
5699,DW3,"DSM 18016, CCUG 52547",1,"Chryseobacterium molle",0.9
133143,WG4,"KCTC 52204, CCTCC AB 2016058",1,"Chryseobacterium montanum",0.4-0.6
133365,C-5-3,"KEMB 9005-411, KACC 18907, JCM 31469",1,"Chryseobacterium nepalense",0.6-0.7
5686,H8,"DSM 19055, CIP 109920, LMG 24030",1,"Chryseobacterium oranimense",0.7-1.2
5700,26-3St2b,"DSM 18015, CCUG 52548",1,"Chryseobacterium pallidum",0.8
5706,3A10,"DSM 21579, LMG 24685, NBRC 104928",1,"Chryseobacterium palustre",0.6
166185,7_F195,"LMG 30781, KCTC 62760",1,"Chryseobacterium pennipullorum",0.4
164405,ISE14,"JCM 32876, KACC 19820",1,"Chryseobacterium phosphatilyticum",0.5-0.9
5704,VQ-6316s,"DSM 21068, CECT 7357",1,"Chryseobacterium piscicola",1
23024,,"CCUG 51923, CIP 109277, DSM 25207, CCUG 5192, LMG 23089",0,"Chryseobacterium piscium",0.5
140591,"AB 2015431, Ra1","KCTC 52230, CCTCC AB 2015431",1,"Chryseobacterium reticulitermitis",0.5
133832,CJ16,"KACC 16560, JCM 18078",1,"Chryseobacterium rigui",0.65
